Bairros	CODBAIRRO
Abolição	070
Acari	111
Água Santa	067
Alto da Boa Vista	034
Anchieta	107
Andaraí	037
Anil	116
Bancários	097
Bangu	141
Barra da Tijuca	128
Barra de Guaratiba	152
Barros Filho	112
Benfica	012
Bento Ribeiro	089
Bonsucesso	040
Botafogo	020
Brás de Pina	045
Cachambi	065
Cacuia	093
Caju	004
Camorim	129
Campinho	078
Campo dos Afonsos	136
Campo Grande	144
Cascadura	082
Catete	018
Catumbi	006
Cavalcanti	080
Centro	005
Cidade de Deus	118
Cidade Nova	008
Cidade Universitária	105
Cocotá	096
Coelho Neto	110
Colégio	077
Complexo do Alemão	156
Copacabana	024
Cordovil	046
Cosme Velho	019
Cosmos	147
Costa Barros	113
Curicica	119
Del Castilho	053
Deodoro	134
Encantado	068
Engenheiro Leal	081
Engenho da Rainha	055
Engenho de Dentro	066
Engenho Novo	061
Estácio	009
Flamengo	015
Freguesia (Ilha)	098
Freguesia (Jacarepaguá)	120
Galeão	104
Gamboa	002
Gardênia Azul	117
Gávea	029
Gericinó	160
Glória	016
Grajaú	038
Grumari	133
Guadalupe	106
Guaratiba	151
Higienópolis	050
Honório Gurgel	087
Humaitá	021
Inhaúma	054
Inhoaíba	146
Ipanema	025
Irajá	076
Itanhangá	127
Jabour	163
Jacaré	051
Jacarepaguá	115
Jacarezinho	155
Jardim América	049
Jardim Botânico	028
Jardim Carioca	100
Jardim Guanabara	099
Jardim Sulacap	137
Joá	126
Lagoa	027
Lapa	161
Laranjeiras	017
Leblon	026
Leme	023
Lins de Vasconcelos	062
Madureira	083
Magalhães Bastos	138
Mangueira	011
Manguinhos	039
Maracanã	035
Maré	157
Marechal Hermes	090
Maria da Graça	052
Méier	063
Moneró	102
Olaria	042
Oswaldo Cruz	088
Paciência	148
Padre Miguel	140
Paquetá	013
Parada de Lucas	047
Parque Anchieta	108
Parque Colúmbia	159
Pavuna	114
Pechincha	121
Pedra de Guaratiba	153
Penha	043
Penha Circular	044
Piedade	069
Pilares	071
Pitangueiras	094
Portuguesa	103
Praça da Bandeira	032
Praça Seca	124
Praia da Bandeira	095
Quintino Bocaiúva	079
Ramos	041
Realengo	139
Recreio dos Bandeirantes	132
Riachuelo	059
Ribeira	091
Ricardo de Albuquerque	109
Rio Comprido	007
Rocha	058
Rocha Miranda	086
Rocinha	154
Sampaio	060
Santa Cruz	149
Santa Teresa	014
Santíssimo	143
Santo Cristo	003
São Conrado	031
São Cristóvão	010
São Francisco Xavier	057
Saúde	001
Senador Camará	142
Senador Vasconcelos	145
Sepetiba	150
Tanque	123
Taquara	122
Tauá	101
Tijuca	033
Todos os Santos	064
Tomás Coelho	056
Turiaçú	085
Urca	022
Vargem Grande	131
Vargem Pequena	130
Vasco da Gama	158
Vaz Lobo	084
Vicente de Carvalho	073
Vidigal	030
Vigário Geral	048
Vila da Penha	074
Vila Isabel	036
Vila Kennedy	162
Vila Cosmos	072
Vila Militar	135
Vila Valqueire	125
Vista Alegre	075
Zumbi	092
